name,address,lat,lon,official_link
מכללה למינהל ומכללת לוינסקי 3,שושנה פרסיץ 9 תל-אביב יפו,32.1363,34.7972,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=90
הלוחמים,הלוחמים 15 תל-אביב יפו,32.0376,34.7625,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=25
סוציאלית (מעונות),שבט בנימין 1,32.1087,34.8039,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=108
אלוף,אלוף פינת בן חיל תל אביב- יפו,32.052,34.7977,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=110
חוף תל-ברוך,רחוב יצחק בן ארצי 34 חוף תל ברוך תל-אביב יפו,32.1231,34.7855,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=134
ליבר,פינס 41 תל-אביב יפו,32.0604,34.7683,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=120
המוזיאונים,קלאוזנר 12 תל אביב - יפו,32.1144,34.8077,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=121
אסותא,ז`בוטינסקי 62 תל-אביב יפו,32.0883,34.7799,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=122
ארלוזורוב 17,ארלוזורוב 17 תל-אביב יפו,32.0875,34.7738,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=123
רמז-ארלוזורוב,רמז 1 תל-אביב יפו,32.0856,34.7857,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=131
סעדיה גאון,צקלג 7 תל-אביב-יפו,32.0671,34.7828,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=38
כרמל 2 ,סמטת הכרמל 3 תל אביב ,32.0685,34.7659,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=114
רידינג מערב,רידינג על שפת הירקון,32.0987,34.7787,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=41
רידינג מזרח,רוקח 15 תל-אביב יפו,32.1001,34.781,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=126
צמרות,אלכסנדר בוסקוביץ 1 תל-אביב יפו,32.0869,34.7962,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=127
כיתן,קהילת סלוניקי 7 תל-אביב יפו,32.1146,34.8239,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=137
גולדמן,גולדמן נחום 2ב תל-אביב יפו,32.0579,34.758,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=124
המשתלה,משה וילנסקי 55 תל-אביב יפו‭,32.1273,34.837,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=133
קצה השדרה (רוטשילד1),שדרות רוטשילד 1 תל-אביב יפו,32.0628,34.7696,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=135
כיכר עליה,צלנוב 22 תל-אביב יפו,32.0576,34.7749,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=132
גלית,וינגייט 3 - 1 תל-אביב יפו,32.0605,34.7881,
בן יוסף, בן יוסף 22 תל-אביב יפו,32.1258,34.7985,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=138
סוללים,הסוללים 3 תל-אביב יפו,32.0707,34.796,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=140
